id,score,kill,reason,idea
0,8,False,"Uses price/volume indicators, clear rules, good for crypto.","A trend-following strategy that enters long when bullish divergence occurs with prices breaking above the upper Keltner Channel in conjunction with expanded Bollinger Bands volatility, and exits upon a price correction below the channel."
1,1,True,"Requires options, VIX, and S&P 500 data.","Buy put options on S&P 500 index when VIX (20-day) futures diverge from 20-day S&P 500 price action, with a maximum 2x leverage, and exit at first breach of a 10-trading-day moving average."
2,2,True,"References VIX, an external index.","A trend-following strategy that enters long when the RSI diverges from price action while VIX increases, exiting based on ATR multiples."
3,7,False,"Uses BB, MA, ATR; exit rule slightly vague.","A mean-reversion strategy that enters when Bollinger Bands' lower band is above 20-period moving average, with exits based on 2x ATR stops to capture re-test opportunities."
4,6,False,Uses SMA and Gann angles; profit target logic unclear.,A Gann angle-based strategy using a 5-period SMA to confirm trend direction during intraday trading with profit targets set where the two indicators intersect.
5,5,False,Uses fractals and Fibonacci; entry logic is vague.,"A trading strategy based on identifying self-similar price patterns using fractals, with entries triggered by divergence from Fibonacci retracement levels."
6,7,False,Uses Fibonacci and ATR; clear entry/exit logic.,"Use Fibonacci retracement levels combined with contracting ATR bands to enter trades when price touches a Fibonacci level during an uptrend with decreasing volatility, closing positions on breakouts."
7,1,True,"Requires options, VIX, and S&P 500 data.","Sell put options at expiration when VIX and S&P 500 are within a 5% correlation band, with entry trigger based on daily high and exit target set at next day's low."
8,8,False,Uses RSI and Bollinger Bands; clear logic.,Enter trades when RSI crosses above/below its Bollinger Bands during trending conditions and exit when price reverts.
9,1,True,"Just a title, no strategy description.",Volatility Divergence Breakout Strategy
10,1,True,"Just a title, no strategy description.",Identify and Trade High-Probability Breakout Opportunities in Volatility-Driven Markets
11,8,False,Uses BB and Stochastic; clear indicator combo.,Combine Bollinger Bands with Stochastic Oscillator to identify potential breakout opportunities.
12,1,True,"Just a title, no strategy description.",Volume Oversold Oscillator Breakout
13,6,False,Uses BB for volatility; short logic is clear.,"A volatility-based strategy that utilizes Bollinger Bands to identify potential breakouts when volatility is below its average. Once a breakout occurs, short the underlying asset until the Bollinger Bands expand to its upper band."
14,1,True,"Just a title, no strategy description.",Volume-Driven Breakout Strategy
15,9,False,"Uses RSI, MA, ATR; clear entry/exit/stops.","A momentum-based breakout strategy that enters long positions when the 50-period RSI is below 30, exits on pullbacks to 20-period moving average level, with stops at 20% ATR above entry point."
16,7,False,Uses MA and RSI; good for consolidation periods.,Develop a volatility-based strategy that utilizes moving averages and RSI divergence to identify opportunities for high-probability breakout opportunities during periods of consolidation.
17,1,True,"Just a title, no strategy description.",Backtesting Arbitrage Opportunity on Volatility Cliffs
18,8,False,Uses Fibonacci and MACD; clear entry logic.,"A trend-following strategy that uses Fibonacci retracement levels combined with MACD oscillator divergence, entering long/short based on both price convergence at retracement levels and momentum signals from MACD."
19,6,False,Uses fractals; entry/exit rules are vague.,Dynamic Range Breakout with Fractal Support and Resistance
20,8,False,"Clear BB/SMA logic with trailing stop, works on crypto OHLCV","Enter long positions when the 50-period Bollinger Band Midpoint (BBMP) is above the Simple Moving Average (SMA), and exit when it's below the SMA, with a trailing stop set at 2 standard deviations from the BBMP."
21,1,True,Requires options and open interest data,"Sell put options during times of high open interest in declining futures contracts, exiting when open interest begins to increase."
22,1,True,Requires options and index ETFs,Buy put spreads on index ETFs during periods of low liquidity (e.g.
23,7,False,Good indicator combo but vague entry/exit rules,"Combining Relative Strength Index divergence and Stochastic oscillator convergence can generate a unique trading strategy. This strategy would enter long when the RSI diverges from price action while the Stochastic oscillator displays convergence, indicating a potential trend reversal."
24,6,False,Decent mean-reversion but uses stock price targets,"A mean-reversion strategy that uses a divergence between RSI(20) and Stochastic Oscillator(8,20), entering short when RSI(20) > 20-period MA while SO(8) < 20-period MA, exiting on SO/RSI reversion or price reaching $10/$50."
25,8,False,"Good MACD/RSI/ATR combo, clear trend-following logic","A trend-following strategy that enters long/short positions when MACD divergence occurs while RSI indicates overbought/oversold conditions, with exits based on volatility measures like ATR."
26,7,False,Good momentum concept but proprietary score unclear,"A momentum-driven trend-following strategy that combines the Average True Range (ATR) with a proprietary 'momentum-score' derived from the product of RSI and Bollinger Bands, entering long positions on bullish RSI divergence and short positions on bearish."
27,1,True,Requires options and inverse ETFs,Sell put options on the inverse ETF of a 3-day moving average crossover momentum indicator.
28,6,False,Fibonacci/RSI/ATR works but vague on ATR multiples,"Trade based on RSI divergence from price action while price is at a Fibonacci retracement level; enter trades in the direction of divergence, exit on ATR multiples."
29,3,False,References overnight session and sector rotation,"Enter long positions during 60-minute highs in the overnight session, adjusted for sector rotation using the EROD ratio. Set stop-loss at 5% below entry price based on ATR."
30,1,True,Requires stock-specific short interest and options data,"Buy stocks with high short interest coverage and strong put-call ratio at lower price levels for subsequent gap-down fills, targeting 10-20% gains on the upside."
31,9,False,"Clear MA crossover logic, works perfectly on crypto",A momentum reversal strategy that enters long positions when the difference between 50-period moving average and 200-period moving average crosses above the 20-period exponential moving average.
32,1,True,"Just a category name, no strategy",Technical Indicators with Unique Combinations
33,7,False,Good BB/RSI/volume combo but contract rollback unclear,"A mean-reversion strategy that enters trades with divergent RSI relative to Bollinger Bands when BBs become overextended, using volume spikes as confirmation, and exits on ATR multiples or contract rollback."
34,7,False,SMA/Fibonacci/RSI/ATR works but ATR risk vague,"Enter long trades when price crosses above 20-period SMA and simultaneously touches 61.8% Fibonacci retracement, exiting upon bearish divergence of RSI(14) confirmed with ATR risk."
35,1,True,"Just a title, no strategy description",Trend-following strategy using fractal patterns:
36,9,False,"Clear BB/volume breakout logic, works on crypto","Identify and trade when price action breaks above the upper Bollinger Band and volume is above the average volume, indicating potential breakout with bullish engulfing patterns."
37,6,False,MA/BB logic works but references bearish territory vaguely,"A trend-following strategy using 50-day and 200-day Moving Averages crossing in bearish territory with lower-than-average volume, expecting price action to diverge before breaking into a new volatility breakout, exited via Bollinger Bands."
38,1,True,"Just a title, no strategy description",Identifying potential liquidity breakouts using volume clusters and volatility filters.
39,4,False,Momentum concept works but references daily bar gaps,A momentum-based strategy that captures directional changes in stock prices by buying the top 20% and selling the bottom 20% of daily bar range gaps.
40,2,False,Requires VIX volatility spikes,A mean-reversion strategy utilizing RSI and MACD divergence with exits based on VIX volatility spikes.
41,6,False,RSI/MA/BB combo works but price ratios vague,"A momentum-based strategy that longs 20-period RSI-oscillator below 30 concurrent with 5-period moving average above 50-day Simple Exponential Moving Average (50-day SEMA), with adjustments based on Bollinger Bands' price movement ratios."
42,1,True,"Just a title, no strategy description","Volume Oscillator Divergence Strategy"":"
43,1,True,"Just a title, no strategy description",Identify volatile turning points using fuzzy logic and support & resistance zones.
44,6,False,RSI/MA/BB logic works but entry conditions complex,"A directional momentum strategy that longs when a 5-period RSI falls below its corresponding price action low for the past 3 periods, while shorting when a 10-period MA is above a declining 20-period Bollinger Band."
45,8,False,"Pure OHLCV indicators, clear convergence logic",Identify trading opportunities using Harmonic Oscillator and Relative Strength Index convergence.
46,1,True,Requires options and futures data,"Sell put options on futures contracts that have closed above their 200-period moving average price range in the past month, with stop-loss at 20% below and limit-up at 10% above current price action."
